C,n,P,t,a,N,LN
-9.516032064,2.74248497,13645.29058,2.513627255,1.876753507,85377.01085,4.931340946
-9.936873747,3.194589178,15208.41683,2.744488978,2.081162325,69599.6411,4.842607
-9.427054108,2.711222445,12815.63126,2.340480962,1.578156313,74161.19256,4.870176705
-9.787775551,3.026252505,13188.37675,2.632264529,2.46993988,94742.53203,4.976544987
-10.01863727,3.273947896,16278.55711,2.669138277,2.203406814,49683.82618,4.696215034
-9.388577154,2.689579158,16711.42285,2.635470942,2.021042084,47082.27994,4.672857485
-9.660320641,2.86753507,13585.17034,2.71242485,1.822645291,111568.1119,5.047540083
-9.405410822,2.646292585,14090.18036,2.409418838,1.624248497,69144.05013,4.839754815
-9.689178357,2.980561122,15484.96994,2.369338677,1.808617234,41629.89906,4.619405358
-9.400601202,2.672745491,14691.38277,2.385370741,1.506012024,55818.20602,4.746775874
-9.330861723,2.603006012,14775.5511,2.284368737,2.301603206,47189.8023,4.673848158
-9.698797595,2.949298597,12743.48697,2.662725451,1.844689379,115233.115,5.061577302
-9.749298597,2.963727455,15821.64329,2.637074148,1.54008016,65490.34702,4.816177292
-9.400601202,2.67755511,16891.78357,2.670741483,1.686372745,51275.99406,4.709914089
-9.390981964,2.629458918,13464.92986,2.273146293,2.455911824,62425.30374,4.795360664
-9.977755511,3.230661323,11096.19238,2.661122244,2.109218437,174895.3196,5.242778187
-9.66993988,2.903607214,12382.76553,2.192985972,1.564128257,75299.85903,4.876794163
-9.333266533,2.622244489,13404.80962,2.587374749,1.932865731,84354.79526,4.926109776
-9.696392786,2.985370741,16915.83166,2.733266533,2.351703407,45774.25152,4.660621252
-10.04268537,3.293186373,13621.24248,2.800601202,1.638276553,114124.7729,5.057379926
-9.403006012,2.670340681,15701.40281,2.180160321,2.417835671,34510.55308,4.53795192
-9.241883768,2.48997996,12875.7515,2.585771543,1.588176353,103862.6129,5.016459244
-9.520841683,2.80501002,13080.16032,2.273146293,2.097194389,61630.1633,4.789793318
-9.718036072,2.99258517,14114.22846,2.378957916,2.483967936,52537.56396,4.720469932
-9.467935872,2.771342685,14847.69539,2.49759519,1.626252505,56190.61814,4.74966381
-9.573747495,2.795390782,13861.72345,2.834268537,2.415831663,107338.667,5.030756198
-9.804609218,3.05511022,12286.57315,2.54248497,2.043086172,109844.4342,5.040778056
-9.362124248,2.629458918,16951.90381,2.167334669,2.467935872,28079.82408,4.448394383
-9.790180361,3.038276553,11072.14429,2.127254509,1.946893788,89209.76026,4.950412372
-9.234669339,2.494789579,16290.58116,2.468737475,1.700400802,50086.90002,4.699724153
-9.28757515,2.557314629,16182.36473,2.476753507,2.21743487,47441.86419,4.676161746
-9.571342685,2.862725451,15340.68136,2.427054108,2.097194389,45869.96742,4.661528432
-9.583366733,2.809819639,13092.18437,2.537675351,1.620240481,99335.38367,4.997103974
-9.977755511,3.194589178,14511.02204,2.826252505,2.409819639,92469.29549,4.965997549
-9.54248497,2.754509018,13561.12224,2.813426854,2.387775551,114819.4068,5.060015299
-10.03066132,3.257114228,13561.12224,2.571342685,2.359719439,83322.73633,4.920763524
-9.398196393,2.687174349,16543.08617,2.143286573,1.566132265,29206.43409,4.465478536
-9.696392786,2.937274549,15593.18637,2.580961924,2.107214429,57616.23504,4.760544876
-9.838276553,3.076753507,15605.21042,2.239478958,2.085170341,36403.49713,4.561143106
-9.280360721,2.523647295,14186.37275,2.167334669,1.708416834,52695.84419,4.721776366
-9.609819639,2.853106212,11228.45691,2.563326653,2.04509018,147329.4651,5.168289612
-9.424649299,2.641482966,13224.4489,2.736472946,2.093186373,117595.7741,5.070391715
-9.369338677,2.595791583,13044.08818,2.465531062,1.868737475,92745.50521,4.967292871
-9.263527054,2.55250501,13549.0982,2.290781563,2.007014028,60191.26615,4.779533479
-9.491983968,2.776152305,12442.88577,2.409418838,1.718436874,86420.28323,4.936615685
-9.85751503,3.136873747,12298.59719,2.702805611,2.445891784,116624.5789,5.066790089
-9.246693387,2.49238477,11348.69739,2.455911824,1.852705411,125532.968,5.098757797
-9.205811623,2.475551102,15677.35471,2.489579158,1.804609218,55233.77556,4.742204731
-9.751703407,3.014228457,13056.11222,2.311623246,1.610220441,69564.1988,4.842385788
-9.60260521,2.821843687,11324.6493,2.306813627,1.914829659,114049.2557,5.057092455
-9.460721443,2.67755511,12070.14028,2.29238477,2.305611222,90779.51768,4.957987871
-9.802204409,3.014228457,15785.57114,2.268336673,1.696392786,41397.14855,4.616970428
-9.318837675,2.598196393,15833.66733,2.507214429,2.009018036,51384.39896,4.710831281
-9.463126253,2.699198397,12719.43888,2.31002004,2.081162325,79187.25818,4.898655306
-9.314028056,2.571743487,14979.95992,2.864729459,1.606212425,89676.26189,4.952677497
-9.463126253,2.706412826,14895.79158,2.83747495,1.804609218,90645.75982,4.957347494
-9.309218437,2.562124248,14715.43086,2.181763527,1.598196393,47250.86229,4.674409738
-9.840681363,3.093587174,12034.06814,2.513627255,2.259519038,108773.3567,5.036522531
-9.653106212,2.951703407,12094.18838,2.298797595,1.942885772,77292.35055,4.888136515
-9.554509018,2.797795591,13933.86774,2.173747495,2.147294589,49774.81851,4.697009685
-9.727655311,3.023847695,12346.69339,2.635470942,2.091182365,107746.1948,5.032401941
-9.609819639,2.850701403,15893.78758,2.358116232,2.333667335,41589.48748,4.618983568
-9.924849699,3.163326653,11517.03407,2.322845691,2.445891784,97838.40172,4.990509349
-9.554509018,2.778557114,14883.76754,2.686773547,1.856713427,80976.98723,4.908361615
-9.773346693,3.023847695,15857.71543,2.755711423,1.680360721,67198.56509,4.82736
-9.972945892,3.196993988,15761.52305,2.52004008,1.986973948,51818.13829,4.714481806
-9.294789579,2.564529058,12490.98196,2.9,2.305611222,136205.0275,5.134193138
-9.424649299,2.675150301,16338.67735,2.654709419,1.616232465,58746.55055,4.768982371
-9.580961924,2.838677355,12262.52505,2.661122244,1.652304609,127168.6153,5.104379942
-9.516032064,2.74008016,13404.80962,2.366132265,1.980961924,75812.28031,4.87973956
-9.980160321,3.221042084,16771.54309,2.839078156,1.740480962,61401.54422,4.788179294
-9.79739479,3.016633267,16326.65331,2.787775551,1.548096192,69125.84885,4.839640477
-9.566533066,2.824248497,12695.39078,2.157715431,1.580160321,63851.04106,4.805167983
